track_id,track_duration,track_genre_top,set_split,listens
2,168,Hip-Hop,training,medium
5,206,Hip-Hop,training,medium
10,161,Pop,training,high
140,253,Folk,training,medium
141,182,Folk,training,low
148,138,Experimental,validation,medium
190,249,Folk,training,low
193,254,Folk,training,low
194,192,Folk,training,low
197,68,Folk,training,low
200,194,Folk,training,low
203,195,Folk,training,low
204,324,Folk,training,low
207,96,Folk,training,low
210,184,Folk,training,medium
211,247,Folk,training,medium
212,230,Folk,training,low
213,247,Pop,training,medium
255,182,Rock,training,high
256,202,Rock,training,high
368,280,Rock,training,high
424,76,Experimental,training,high
459,301,Rock,validation,high
534,80,Folk,training,low
540,309,Folk,training,low
546,319,Folk,training,low
574,267,Rock,training,high
602,445,Folk,validation,low
615,519,Experimental,training,low
620,205,Folk,training,low
621,161,Folk,training,low
625,234,Folk,training,low
666,235,International,training,medium
667,246,International,training,medium
676,197,Hip-Hop,training,medium
690,290,Rock,validation,high
694,291,Hip-Hop,training,high
695,104,Hip-Hop,training,high
714,338,Folk,training,low
715,283,Folk,training,low
716,297,Folk,training,medium
718,128,Folk,training,high
777,90,Rock,training,high
814,146,Folk,training,medium
821,200,Pop,training,low
822,323,Pop,training,low
825,83,Rock,training,high
853,137,International,training,high
897,275,Experimental,training,medium
993,86,Rock,validation,high
995,298,Experimental,training,high
997,520,Experimental,training,medium
998,475,Experimental,training,low
1039,169,Rock,training,high
1040,310,Rock,training,medium
1082,187,International,training,high
1083,472,Experimental,training,medium
1087,315,Rock,validation,high
1102,327,Rock,training,high
1193,286,Folk,training,medium
1195,212,Folk,training,low
1196,221,Folk,training,low
1197,161,Folk,training,low
1270,149,Rock,training,high
1276,145,Experimental,training,medium
1277,253,Experimental,training,medium
1278,592,Experimental,training,high
1417,232,Rock,training,high
1427,248,Rock,training,high
1443,423,Experimental,training,medium
1482,216,Electronic,training,high
1510,91,Experimental,training,medium
1544,370,Folk,training,high
1642,68,Pop,training,low
1644,146,Pop,training,low
1649,139,Pop,training,low
1661,127,Pop,training,low
1663,200,Pop,training,low
1666,282,Pop,training,low
1673,250,Experimental,training,low
1680,436,International,training,medium
1681,274,International,training,low
1682,354,International,training,medium
1683,312,International,training,low
1684,230,International,training,high
1685,308,International,training,low
1686,374,International,training,low
1687,330,International,training,low
1688,285,International,training,low
1689,543,International,training,low
1701,386,Folk,training,low
1702,286,Folk,training,low
1703,288,Folk,training,high
1704,435,Folk,training,low
1706,175,Rock,training,high
1720,269,Rock,training,high
1732,341,Experimental,training,low
1733,276,Experimental,training,high
1735,132,Experimental,training,high
1736,275,Experimental,training,low
1883,158,Rock,training,high
1891,303,Rock,training,high
1893,202,Folk,validation,low
1924,167,Folk,training,low
1925,170,Folk,training,low
1929,216,Experimental,training,high
1930,233,Rock,training,high
2012,200,Experimental,validation,medium
2096,453,Experimental,training,low
2097,257,Folk,training,medium
2099,244,Pop,training,medium
3263,208,Folk,validation,low
3264,354,Folk,validation,medium
3265,171,Folk,validation,low
3266,248,Folk,validation,low
3270,288,Folk,training,medium
3271,166,Folk,training,medium
3272,174,Folk,training,medium
3273,173,Folk,training,medium
3274,349,Folk,training,high
3492,286,Rock,training,high
3532,170,Pop,training,medium
3533,242,Pop,training,low
3534,130,Pop,training,medium
3535,208,Pop,training,low
3537,247,Pop,training,low
3538,210,Pop,training,low
3573,235,Electronic,training,high
3598,139,Folk,training,low
3707,341,Folk,training,medium
3708,245,Folk,training,medium
3720,240,Rock,training,high
3721,318,Rock,training,high
3722,202,Rock,training,high
3724,370,Rock,training,high
3725,289,Rock,training,high
3761,257,Rock,training,high
3762,541,Rock,training,high
3763,180,Rock,training,high
3765,444,Rock,training,high
3766,282,Rock,training,high
3775,594,International,training,high
3776,363,International,training,medium
3777,445,International,training,high
3778,258,International,training,high
3779,423,International,training,high
3832,419,Folk,training,high
3833,316,Rock,training,high
3840,489,Rock,training,high
3880,258,Folk,training,high
3895,467,International,training,low
3896,374,International,training,medium
3904,263,Folk,training,medium
3905,508,Folk,training,medium
3906,264,Folk,training,medium
3908,337,Folk,training,low
3909,410,Folk,training,low
3910,361,Folk,training,medium
3911,158,Folk,training,medium
3912,218,Folk,training,low
3913,388,Folk,training,medium
3920,194,Folk,training,medium
3921,157,Folk,training,medium
3950,150,Rock,training,high
4013,353,Folk,training,low
4017,403,Folk,training,low
4022,79,Rock,validation,high
4037,315,Folk,training,high
4066,255,Folk,training,low
4067,273,Folk,training,low
4068,341,Folk,training,low
4069,233,Folk,training,medium
4070,259,International,training,high
4071,227,International,training,high
4072,148,International,training,high
4073,197,International,training,high
4074,245,International,training,medium
4075,268,International,training,medium
4076,216,International,training,medium
4077,195,International,training,medium
4078,205,International,training,medium
4079,296,International,training,medium
4080,236,International,training,medium
4091,173,International,training,high
4092,159,International,training,medium
4093,200,International,training,high
4094,157,International,training,medium
4095,222,International,training,medium
4096,195,International,training,medium
4097,183,International,training,medium
4098,141,International,training,medium
4099,205,International,training,medium
4100,184,International,training,high
4101,127,International,training,medium
4102,201,International,training,medium
4103,261,International,training,high
4232,393,International,training,high
4233,307,International,training,medium
4234,317,International,training,high
4235,557,International,training,medium
4236,307,International,training,medium
4239,294,International,training,high
4450,241,Folk,training,low
4507,237,International,training,high
4508,277,International,training,medium
4509,215,International,training,high
4510,238,International,training,high
4511,313,International,training,high
4519,117,Electronic,training,high
4520,199,Electronic,training,high
4521,184,Electronic,training,high
4522,259,Electronic,training,high
4682,337,Hip-Hop,training,high
4684,392,Hip-Hop,training,medium
4685,332,Hip-Hop,training,high
4688,376,Hip-Hop,training,low
4777,183,Rock,training,high
4778,121,Rock,training,high
4779,149,Rock,training,high
4780,76,Rock,training,high
4781,131,Rock,training,high
4782,165,Rock,training,high
4784,124,Rock,training,high
4785,151,Rock,training,high
4786,120,Rock,training,high
4787,165,Rock,training,high
4788,159,Rock,training,high
4799,242,Rock,training,high
4835,243,Rock,training,high
4836,214,Rock,training,high
4838,268,Rock,training,high
4846,345,International,training,high
4848,211,International,training,high
4849,283,International,training,high
5006,121,Rock,training,high
5156,324,Folk,training,medium
5157,298,Folk,training,medium
5158,226,Folk,training,high
5159,286,Folk,training,medium
5169,329,Folk,training,medium
5170,356,Folk,training,medium
5171,199,Folk,training,medium
5191,95,Pop,validation,low
5264,431,Hip-Hop,training,medium
5268,260,Hip-Hop,training,high
5376,216,Folk,training,low
5381,199,Folk,training,low
5521,178,Experimental,training,low
5879,321,Folk,training,low
5936,207,Folk,training,medium
5940,184,Folk,training,low
6329,225,International,training,low
6330,201,International,training,medium
6331,337,International,validation,medium
6332,344,International,training,low
6333,277,International,validation,medium
6342,290,International,training,high
6354,214,International,training,low
6357,214,International,training,low
6358,287,International,validation,low
6360,291,International,training,high
6363,350,International,validation,medium
6366,340,International,training,high
6367,236,International,training,low
6368,196,International,validation,medium
6370,342,International,training,low
6372,274,International,validation,medium
6373,307,International,training,high
6376,289,International,validation,low
6379,303,International,training,medium
6380,180,International,validation,medium
6381,294,International,training,low
6382,390,International,training,low
6383,312,International,training,high
6385,221,International,validation,medium
6387,211,International,training,medium
6389,311,International,training,medium
6390,385,International,validation,low
6393,331,International,training,high
6394,443,International,training,low
6396,440,International,training,low
6406,157,Folk,training,medium
6407,429,Folk,training,low
6439,173,Hip-Hop,training,high
6440,138,Hip-Hop,training,high
6442,80,Hip-Hop,training,high
6443,159,Hip-Hop,training,high
6448,100,Hip-Hop,training,high
6459,415,International,training,high
6461,153,Folk,validation,medium
6463,198,Folk,validation,low
6467,186,Folk,validation,low
6469,308,International,training,high
6517,165,Rock,training,high
6519,215,Rock,training,high
6603,116,Hip-Hop,training,medium
6605,109,Hip-Hop,training,medium
6606,153,Hip-Hop,training,medium
6607,124,Hip-Hop,training,medium
6608,143,Hip-Hop,training,medium
6609,78,Hip-Hop,training,medium
6610,109,Hip-Hop,training,medium
6611,100,Hip-Hop,training,medium
6674,240,Experimental,training,medium
6675,180,Experimental,training,medium
6677,237,Experimental,training,medium
6679,300,Experimental,training,high
6680,70,Experimental,training,medium
6684,300,Experimental,training,high
6762,314,Folk,validation,medium
6776,281,Rock,training,high
6778,301,Rock,training,high
6779,230,Folk,validation,low
6782,228,Folk,validation,medium
6783,195,Folk,validation,low
6788,268,Rock,training,high
6802,182,International,training,high
6803,280,International,training,high
6854,159,Folk,training,high
6855,190,Folk,training,high
6856,223,Folk,training,high
6857,475,Folk,training,medium
7011,111,Electronic,validation,high
7481,124,Hip-Hop,training,medium
7482,108,Hip-Hop,training,medium
7483,170,Hip-Hop,training,medium
7487,183,Hip-Hop,training,medium
7488,304,Hip-Hop,training,medium
7489,273,Hip-Hop,training,medium
7490,308,Hip-Hop,training,medium
7491,265,Hip-Hop,training,medium
7492,254,Hip-Hop,training,medium
7495,247,Rock,training,high
7526,183,Pop,training,medium
7527,168,Pop,training,medium
7528,257,Pop,training,medium
7529,130,Pop,training,medium
7548,146,Experimental,training,low
7554,314,Experimental,training,high
7709,191,Folk,training,medium
7710,158,Folk,training,low
7711,288,Folk,training,low
7712,234,Folk,training,medium
7713,187,Folk,training,low
7872,224,Rock,training,high
8056,151,Rock,training,medium
8208,498,Rock,training,high
8256,206,Folk,training,medium
8259,179,Folk,training,low
8261,286,Folk,training,low
8345,81,Experimental,training,medium
8357,366,Experimental,training,low
8363,84,Experimental,training,medium
8372,95,Experimental,training,medium
8416,124,Experimental,training,medium
9152,213,Experimental,training,medium
9307,79,Experimental,training,low
9476,382,Experimental,training,medium
9477,241,Experimental,training,high
9491,123,Rock,training,high
9505,308,Experimental,training,medium
9511,154,Rock,training,high
9512,305,International,training,high
9513,478,Rock,training,high
9550,304,Rock,validation,high
9553,362,Rock,validation,high
9555,334,Rock,validation,high
9557,297,Rock,validation,high
9559,288,Rock,validation,high
9560,256,Rock,validation,high
9678,185,Experimental,training,medium
9721,413,Experimental,training,medium
9846,300,Experimental,training,low
9887,215,Folk,training,medium
9888,508,Folk,training,high
9918,231,Experimental,training,medium
9962,168,Rock,training,high
10192,360,Hip-Hop,training,medium
10374,318,Experimental,training,medium
10375,131,Experimental,training,medium
10376,166,Experimental,training,low
10377,355,Experimental,training,high
10435,144,Experimental,training,low
10458,371,Folk,training,low
10521,217,Experimental,training,high
10527,265,Experimental,training,low
10535,77,Experimental,training,low
10541,68,Experimental,training,high
10575,362,Folk,training,medium
10577,250,Folk,training,medium
10668,85,Rock,training,high
10669,236,Rock,training,high
10670,229,Rock,training,high
10671,259,Rock,training,high
10672,285,Rock,training,high
10673,295,Rock,training,high
10674,209,Rock,training,high
10675,453,Rock,training,medium
10676,277,Rock,training,high
10677,299,Rock,training,high
10693,176,Hip-Hop,training,high
10694,214,Hip-Hop,training,high
10695,110,Hip-Hop,training,high
10696,109,Hip-Hop,training,high
10697,235,Hip-Hop,training,high
10698,172,Hip-Hop,training,high
10699,114,Hip-Hop,training,high
10805,232,Pop,training,high
10806,143,Pop,training,high
10807,207,Pop,training,high
10808,191,Pop,training,high
10809,212,Pop,training,high
10810,301,Pop,training,high
10983,314,Experimental,training,medium
11198,201,Pop,training,medium
11199,191,Pop,training,medium
11206,171,Electronic,training,high
11234,240,Experimental,training,medium
11237,335,Experimental,training,medium
11239,280,Experimental,training,low
11242,357,Experimental,training,medium
11261,224,Pop,training,low
11262,422,Electronic,training,high
11264,208,Rock,training,high
11268,169,Rock,training,high
11298,141,Hip-Hop,training,high
11299,189,Hip-Hop,training,high
11306,320,Rock,training,high
11333,159,Experimental,training,low
11334,90,Experimental,training,low
11544,306,Experimental,training,low
11638,155,Instrumental,training,medium
11671,175,International,training,medium
11672,176,International,training,low
11673,158,International,training,low
11674,197,International,training,low
11675,140,International,training,low
11677,198,International,training,low
11679,215,International,training,low
11681,286,International,training,low
11682,139,International,training,low
11683,288,International,training,medium
11763,104,Hip-Hop,training,high
11764,133,Hip-Hop,training,high
11765,145,Hip-Hop,training,medium
11766,174,Hip-Hop,training,high
11767,127,Hip-Hop,training,medium
11768,83,Hip-Hop,training,medium
11769,110,Hip-Hop,training,high
11770,146,Hip-Hop,training,high
11771,93,Hip-Hop,training,high
11772,153,Hip-Hop,training,medium
11773,111,Hip-Hop,training,high
11774,159,Hip-Hop,training,medium
11775,171,Hip-Hop,training,high
11776,156,Hip-Hop,training,medium
11777,102,Hip-Hop,training,high
11778,128,Hip-Hop,training,high
11779,131,Hip-Hop,training,medium
11780,125,Hip-Hop,training,medium
11781,99,Hip-Hop,training,medium
11782,118,Hip-Hop,training,high
11783,107,Hip-Hop,training,medium
11784,83,Hip-Hop,training,medium
11785,94,Hip-Hop,training,medium
11786,76,Hip-Hop,training,high
11787,157,Hip-Hop,training,high
11788,122,Hip-Hop,training,medium
11789,103,Hip-Hop,training,high
11790,92,Hip-Hop,training,medium
11791,114,Hip-Hop,training,medium
11792,92,Hip-Hop,training,medium
11793,108,Hip-Hop,training,high
11794,94,Hip-Hop,training,medium
11795,136,Hip-Hop,training,medium
11803,135,Hip-Hop,validation,high
11818,209,Hip-Hop,training,medium
11839,210,Hip-Hop,training,medium
11861,132,Hip-Hop,training,medium
